Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP
1,1,BT1,CR18650,Device:Battery,Battery:BatteryHolder_MPD_BH-18650-PC2,~,
2,1,BZ1,Buzzer,Device:Buzzer,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
3,1,D1,LED2,Device:LED,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
4,1,DS1,WC1602A,Display_Character:WC1602A,Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical,http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf,
5,1,J1,UART,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,
6,2,"Q1, Q2",2N3904,Transistor_BJT:2N3904,Package_TO_SOT_THT:TO-92_Inline,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,
7,2,"R1, R3",1K,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~,
8,1,R2,100R,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~,
9,1,RV1,Contrast,Device:R_Potentiometer_Trim_US,Potentiometer_THT:Potentiometer_ACP_CA9-H5_Horizontal,~,
10,1,SW1,MENU_UP,Switch:SW_Push,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
11,1,SW2,MENU_DN,Switch:SW_Push,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
12,1,SW3,SET_UP,Switch:SW_Push,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
13,1,SW4,SET_DN,Switch:SW_Push,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
14,1,SW5,SET_OK,Switch:SW_Push,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
15,1,SW6,START,Switch:SW_Push,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
16,1,SW7,SW_SPST,Switch:SW_SPST,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
17,1,U1,STM32-BluePill,TwoBitSymbols:STM32-BluePill,TwoBitFootprints:STM32_BluePill,https://www.electronicshub.org/getting-started-with-stm32f103c8t6-blue-pill/,
18,1,U2,TP4056_5V_Li_Battery_Charger,tp4056_5v_li_battery_charger:TP4056_5V_Li_Battery_Charger,TwoBitFootprints:TP4056_Li_Battery_Charger_Breakout,,
19,1,U3,ADMP401_Mic,TwoBitSymbols:ADMP401_Microphone_Breakout,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,
